PID,Naphids,Thujene,Pinene,Camphene,Sabinene,Terpinene.alpha,oCymene,Limonene,Terpinene.gamma,Thujone,Eucaliptol,Terpineol.beta,SabineneHydrate,L.Camphor,Terpineol4,Terpineol,Dihydrocarvone,Copaene,Caryophyllene,Cubebene,Amorphene,GermacreneD,Sesquiphellandrene
P202,2,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
P204,2,0.0043,0,0,0.0386,0.0008,0.0046,0,0.0025,0.5066,0.0111,0.0124,0.0027,0,0.001,0,0.0009,0.0015,0,0.0537,0.0028,0,0
P207,2,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P209,2,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P212,2,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P215,2,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P218,2,0.0078,0.0019,0,0.0485,0.0014,0,0.0002,0.0066,0.0938,0.0082,0.0235,0.0048,0,0.0056,0.0006,0.0004,0.0026,0,0.0782,0.0048,0.0033,0.0001
P220,2,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P223,2,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P226,2,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P228,2,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P231,2,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P234,2,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P237,2,0.0064,0.0007,0,0.0256,0.0011,0.0159,0.0001,0.0043,0.2333,0.0117,0.0114,0.0032,0,0.0019,0,0.0004,0.0012,0,0.0295,0.0021,0.0011,0.0009
P239,2,0.004,0.0007,0,0.0139,0.0011,0.0131,0,0.0032,0.1817,0.025,0.0124,0.0059,0,0.005,0.0001,0.0007,0.0025,0,0.0886,0.0056,0.0036,0
P242,2,0.0381,0.0036,0,0.0744,0.0054,0.0168,0.0005,0.0173,0,0.1886,0.0272,0.0116,0,0.0052,0.0005,0.0004,0.0007,0,0.0137,0.0013,0.0005,0.0004
P245,2,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P248,2,0.0121,0.0022,0,0.0556,0.0092,0.0209,0.0003,0.0239,0.7883,0.012,0.1731,0.009,0.0005,0.004,0.0003,0.0005,0.0013,0.003,0.0581,0.0031,0.0013,0
P250,2,0.009,0.0016,0,0.0602,0.0014,0.016,0.0002,0.0078,0.1911,0.0176,0.0216,0.0034,0,0.0022,0.0004,0.0005,0.0019,0,0.0606,0.0039,0.0027,0
